rep_point_x,rep_point_y,parent_block_uid,child_block_uid
7446674.801527076,1176042.5628571429,17621,311594
7438577.209703445,1175649.7428571428,16238,311578
7449882.283819303,1176503.4485714284,17120,311580
7449636.720957131,1176429.4214285715,17613,311581
7441413.666881644,1176002.107142857,17613,311583
7446797.03536305,1176090.7028571428,17621,311586
7447372.1475436045,1174519.0171428572,17629,311613
7440430.61945607,1175623.4385714286,16238,311614
7482538.591714092,1199026.6157142855,17528,314483
7485012.921048205,1199396.3842857142,17603,314485
7483369.028044454,1199335.9342857143,17518,314487
7484314.55498038,1198753.427142857,17514,314687
7483239.510731719,1198628.5457142857,17426,314690
7483711.6582031455,1198617.2457142859,17509,314694
7483530.247047454,1198643.77,17509,314695
7484942.941709858,1198615.8257142857,17494,314699
7484085.363482698,1198472.4185714286,17510,314700
7483265.993289182,1198564.4585714284,17426,314701
7483001.703746827,1198540.4357142858,17426,314703
7484617.628006473,1198606.877142857,17503,314705
7485080.298691222,1198504.2557142857,17486,314707
7482583.6374440435,1198665.7428571428,17527,314714
7484696.011792935,1198059.5985714286,17505,314843
7484315.2027682625,1198121.5871428573,17504,314845
7483814.211043419,1198213.0185714285,17510,314846
7483198.129270047,1197988.9314285712,17524,314858
7483975.288419545,1198159.1971428571,17510,314861
7484089.175919373,1198056.8728571427,17504,314863
7484419.40192535,1197975.427142857,17503,314866
7483299.0057637375,1198015.517142857,17524,314868
7482994.394898038,1197851.2485714285,17524,314871
7482784.793571256,1197996.3057142857,17524,314872
7484052.322248413,1197975.1285714286,17510,314873
7482703.865535574,1198067.4528571428,17525,314879
7483389.5098968595,1197969.6942857143,17524,314888
7472491.549663981,1189022.5499999998,16790,317830
7483918.501800142,1198520.5714285714,17511,314718
7484407.210710268,1202417.4100000001,17410,314164
7484341.725110851,1202096.1085714286,17395,314168
7482101.821514777,1201502.8599999999,17404,314173
7483949.624944411,1201729.9342857143,17402,314178
7482883.750357041,1198405.2585714287,17426,314734
7484523.295577673,1198415.1957142856,17505,314745
7483961.530950171,1198411.8385714286,17511,314757
7485112.024502877,1198423.6157142855,17486,314769
